product_id,url,name,sku,price,category_name
100116,https://www.glamira.co.uk/catalog/product/view/id/100116,Women's Earring Tarman,TARMAN,417.000000,Earrings
100117,https://www.glamira.co.uk/catalog/product/view/id/100117,Women's Earring Taypars,TAYPARS,541.000000,Earrings
100124,https://www.glamira.co.uk/catalog/product/view/id/100124,Women's Earring Ulgeny,Ulgeny,401.000000,Earrings
100129,https://www.glamira.co.uk/catalog/product/view/id/100129,Women's Earring Zamire,ZAMIRE,491.000000,Earrings
100126,https://www.glamira.co.uk/catalog/product/view/id/100126,Women's Earring Vamika,VAMIKA,871.000000,Earrings
100130,https://www.glamira.co.uk/catalog/product/view/id/100130,Kid's Ring Aefre,KDR-001,318.000000,Rings
100128,https://www.glamira.co.uk/catalog/product/view/id/100128,Women's Earring Yegah,YEGAH,463.000000,Earrings
100127,https://www.glamira.co.uk/catalog/product/view/id/100127,Women's Earring Vefia,VEFIA,655.000000,Earrings
100125,https://www.glamira.co.uk/catalog/product/view/id/100125,Women's Earring Unsila,UNSILA,903.000000,Earrings
100135,https://www.glamira.co.uk/catalog/product/view/id/100135,Kid's Ring Hajar,KDR-006,288.000000,Rings
100141,https://www.glamira.co.uk/catalog/product/view/id/100141,Kid's Ring Risley,KDR-012,260.000000,Rings
100136,https://www.glamira.co.uk/catalog/product/view/id/100136,Kid's Ring Marigold,KDR-007,285.000000,Rings
100137,https://www.glamira.co.uk/catalog/product/view/id/100137,Kid's Ring Micah,KDR-008,330.000000,Rings
100123,https://www.glamira.co.uk/catalog/product/view/id/100123,Women's Earring Tongal,Tongal,477.000000,Earrings
100142,https://www.glamira.co.uk/catalog/product/view/id/100142,Kid's Ring Sayresh,KDR-013,314.000000,Rings
100143,https://www.glamira.co.uk/catalog/product/view/id/100143,Kid's Ring Scirloc,KDR-014,350.000000,Rings
100134,https://www.glamira.co.uk/catalog/product/view/id/100134,Kid's Ring Hafwen,KDR-005v,248.000000,Rings
100132,https://www.glamira.co.uk/catalog/product/view/id/100132,Kid's Ring Algan,KDR-003,447.000000,Rings
100139,https://www.glamira.co.uk/catalog/product/view/id/100139,Kid's Ring Riccia,KDR-010,312.000000,Rings
100131,https://www.glamira.co.uk/catalog/product/view/id/100131,Kid's Ring Ajha,KDR-002,350.000000,Rings
100133,https://www.glamira.co.uk/catalog/product/view/id/100133,Kid's Ring Bumbleberry,KDR-004,305.000000,Rings
100138,https://www.glamira.co.uk/catalog/product/view/id/100138,Kid's Ring Rainbo,KDR-009,323.000000,Rings
100140,https://www.glamira.co.uk/catalog/product/view/id/100140,Kid's Ring Rigel,KDR-011,474.000000,Rings
100146,https://www.glamira.co.uk/catalog/product/view/id/100146,Kid's Ring Sunniva,KDR-017,273.000000,Rings
100148,https://www.glamira.co.uk/catalog/product/view/id/100148,Kid's Ring Tegan,KDR-019,236.000000,Rings
100145,https://www.glamira.co.uk/catalog/product/view/id/100145,Kid's Ring Suellen,KDR-016,253.000000,Rings
100100,https://www.glamira.co.uk/catalog/product/view/id/100100,Women's Earring Ligia,LIGIA,444.000000,Earrings
100144,https://www.glamira.co.uk/catalog/product/view/id/100144,Kid's Ring Stanwyk,KDR-015,318.000000,Rings
100147,https://www.glamira.co.uk/catalog/product/view/id/100147,Kid's Ring Taina,KDR-018,285.000000,Rings
100157,https://www.glamira.co.uk/catalog/product/view/id/100157,Kid's Ring Wenda,KDR-028,300.000000,Rings
100156,https://www.glamira.co.uk/catalog/product/view/id/100156,Kid's Ring Welss,KDR-027,186.000000,Rings
100153,https://www.glamira.co.uk/catalog/product/view/id/100153,Kid's Ring Verley,KDR-024,238.000000,Rings
100150,https://www.glamira.co.uk/catalog/product/view/id/100150,Kid's Ring Tomasina,KDR-021,273.000000,Rings
100155,https://www.glamira.co.uk/catalog/product/view/id/100155,Kid's Ring Welsa,KDR-026,310.000000,Rings
100154,https://www.glamira.co.uk/catalog/product/view/id/100154,Kid's Ring Versie,KDR-025,300.000000,Rings
