ip,reason
102.128.79.68,No_Data_From_DB
102.128.92.11,No_Data_From_DB
102.128.92.124,No_Data_From_DB
102.128.92.160,No_Data_From_DB
102.128.92.73,No_Data_From_DB
102.128.96.15,No_Data_From_DB
102.128.96.50,No_Data_From_DB
102.129.0.157,No_Data_From_DB
102.129.100.188,No_Data_From_DB
102.129.101.168,No_Data_From_DB
102.129.102.21,No_Data_From_DB
102.129.102.46,No_Data_From_DB
102.129.12.2,No_Data_From_DB
102.129.12.34,No_Data_From_DB
102.129.122.227,No_Data_From_DB
102.129.124.215,No_Data_From_DB
102.129.124.217,No_Data_From_DB
102.129.135.246,No_Data_From_DB
102.129.136.13,No_Data_From_DB
102.129.137.165,No_Data_From_DB
102.129.15.48,No_Data_From_DB
102.129.16.222,No_Data_From_DB
102.129.18.115,No_Data_From_DB
102.129.18.122,No_Data_From_DB
102.129.18.148,No_Data_From_DB
102.129.18.165,No_Data_From_DB
102.129.18.201,No_Data_From_DB
102.129.18.227,No_Data_From_DB
102.129.18.237,No_Data_From_DB
102.129.19.207,No_Data_From_DB
102.129.22.201,No_Data_From_DB
102.129.22.223,No_Data_From_DB
102.129.224.2,No_Data_From_DB
102.129.227.185,No_Data_From_DB
102.129.239.45,No_Data_From_DB
102.129.24.218,No_Data_From_DB
102.129.25.236,No_Data_From_DB
102.129.25.243,No_Data_From_DB
102.129.254.64,No_Data_From_DB
102.129.26.121,No_Data_From_DB
102.129.26.41,No_Data_From_DB
102.129.27.201,No_Data_From_DB
102.129.27.229,No_Data_From_DB
102.129.27.249,No_Data_From_DB
102.129.28.204,No_Data_From_DB
102.129.29.161,No_Data_From_DB
102.129.29.175,No_Data_From_DB
102.129.29.51,No_Data_From_DB
102.129.30.148,No_Data_From_DB
102.129.30.196,No_Data_From_DB
102.129.31.165,No_Data_From_DB
102.129.31.192,No_Data_From_DB
102.129.31.206,No_Data_From_DB
102.129.50.182,No_Data_From_DB
102.129.50.217,No_Data_From_DB
102.129.51.230,No_Data_From_DB
102.129.51.25,No_Data_From_DB
102.129.52.8,No_Data_From_DB
102.129.53.116,No_Data_From_DB
102.129.53.187,No_Data_From_DB
102.129.54.33,No_Data_From_DB
102.129.55.137,No_Data_From_DB
102.129.55.154,No_Data_From_DB
102.129.55.46,No_Data_From_DB
102.129.56.185,No_Data_From_DB
102.129.56.3,No_Data_From_DB
102.129.57.101,No_Data_From_DB
102.129.57.144,No_Data_From_DB
102.129.57.148,No_Data_From_DB
102.129.57.56,No_Data_From_DB
102.129.58.147,No_Data_From_DB
102.129.60.11,No_Data_From_DB
102.129.60.65,No_Data_From_DB
102.129.61.113,No_Data_From_DB
102.129.61.18,No_Data_From_DB
102.129.61.187,No_Data_From_DB
102.129.61.205,No_Data_From_DB
102.129.61.48,No_Data_From_DB
102.129.62.142,No_Data_From_DB
102.129.62.218,No_Data_From_DB
102.129.62.220,No_Data_From_DB
102.129.62.57,No_Data_From_DB
102.129.62.72,No_Data_From_DB
102.129.63.1,No_Data_From_DB
102.129.63.186,No_Data_From_DB
102.129.63.224,No_Data_From_DB
102.129.71.157,No_Data_From_DB
102.129.73.16,No_Data_From_DB
102.129.98.195,No_Data_From_DB
102.129.98.76,No_Data_From_DB
102.129.99.103,No_Data_From_DB
102.129.99.110,No_Data_From_DB
102.130.105.30,No_Data_From_DB
102.130.108.132,No_Data_From_DB
102.130.108.183,No_Data_From_DB
102.130.108.209,No_Data_From_DB
102.130.110.233,No_Data_From_DB
102.130.18.205,No_Data_From_DB
102.130.18.211,No_Data_From_DB
102.130.18.247,No_Data_From_DB
102.130.19.10,No_Data_From_DB
102.130.19.140,No_Data_From_DB
102.130.19.149,No_Data_From_DB
102.130.19.94,No_Data_From_DB
102.130.20.137,No_Data_From_DB
102.130.20.196,No_Data_From_DB
102.130.20.34,No_Data_From_DB
102.130.208.116,No_Data_From_DB
102.130.209.87,No_Data_From_DB
102.130.21.223,No_Data_From_DB
102.130.21.243,No_Data_From_DB
102.130.21.46,No_Data_From_DB
102.130.210.251,No_Data_From_DB
102.130.212.178,No_Data_From_DB
102.130.218.205,No_Data_From_DB
102.130.223.193,No_Data_From_DB
102.130.23.161,No_Data_From_DB
102.130.23.191,No_Data_From_DB
102.130.24.79,No_Data_From_DB
102.130.25.9,No_Data_From_DB
102.130.26.123,No_Data_From_DB
102.130.28.26,No_Data_From_DB
102.130.28.9,No_Data_From_DB
102.130.29.19,No_Data_From_DB
102.130.29.27,No_Data_From_DB
102.130.29.55,No_Data_From_DB
102.130.30.117,No_Data_From_DB
102.130.30.126,No_Data_From_DB
102.130.30.46,No_Data_From_DB
102.130.31.146,No_Data_From_DB
102.130.31.165,No_Data_From_DB
102.130.31.247,No_Data_From_DB
102.130.31.86,No_Data_From_DB
102.130.31.93,No_Data_From_DB
102.130.81.1,No_Data_From_DB
102.130.82.1,No_Data_From_DB
102.130.82.232,No_Data_From_DB
102.130.82.8,No_Data_From_DB
102.131.21.1,No_Data_From_DB
102.131.63.10,No_Data_From_DB
102.132.12.10,No_Data_From_DB
102.132.128.141,No_Data_From_DB
102.132.128.247,No_Data_From_DB
102.132.129.137,No_Data_From_DB
102.132.129.174,No_Data_From_DB
102.132.13.2,No_Data_From_DB
102.132.130.112,No_Data_From_DB
102.132.130.231,No_Data_From_DB
102.132.130.235,No_Data_From_DB
102.132.130.254,No_Data_From_DB
102.132.130.30,No_Data_From_DB
102.132.131.136,No_Data_From_DB
102.132.131.149,No_Data_From_DB
102.132.131.249,No_Data_From_DB
102.132.131.38,No_Data_From_DB
102.132.131.44,No_Data_From_DB
102.132.132.182,No_Data_From_DB
102.132.132.211,No_Data_From_DB
102.132.133.114,No_Data_From_DB
102.132.133.161,No_Data_From_DB
102.132.133.217,No_Data_From_DB
102.132.134.117,No_Data_From_DB
102.132.134.140,No_Data_From_DB
102.132.136.246,No_Data_From_DB
102.132.136.34,No_Data_From_DB
102.132.136.50,No_Data_From_DB
102.132.136.76,No_Data_From_DB
102.132.136.84,No_Data_From_DB
102.132.137.174,No_Data_From_DB
102.132.137.210,No_Data_From_DB
102.132.138.16,No_Data_From_DB
102.132.138.191,No_Data_From_DB
102.132.138.219,No_Data_From_DB
102.132.138.27,No_Data_From_DB
102.132.139.150,No_Data_From_DB
102.132.139.36,No_Data_From_DB
102.132.14.134,No_Data_From_DB
102.132.140.129,No_Data_From_DB
102.132.140.66,No_Data_From_DB
102.132.140.77,No_Data_From_DB
102.132.141.121,No_Data_From_DB
102.132.141.155,No_Data_From_DB
102.132.141.7,No_Data_From_DB
102.132.142.100,No_Data_From_DB
102.132.142.109,No_Data_From_DB
102.132.142.111,No_Data_From_DB
102.132.142.49,No_Data_From_DB
102.132.142.73,No_Data_From_DB
102.132.143.134,No_Data_From_DB
102.132.143.156,No_Data_From_DB
102.132.143.53,No_Data_From_DB
102.132.143.65,No_Data_From_DB
102.132.144.112,No_Data_From_DB
102.132.144.147,No_Data_From_DB
102.132.145.111,No_Data_From_DB
102.132.145.18,No_Data_From_DB
102.132.145.254,No_Data_From_DB
102.132.145.93,No_Data_From_DB
102.132.147.180,No_Data_From_DB
102.132.148.99,No_Data_From_DB
102.132.149.102,No_Data_From_DB
102.132.149.12,No_Data_From_DB
102.132.149.217,No_Data_From_DB
102.132.149.6,No_Data_From_DB
102.132.149.94,No_Data_From_DB
102.132.150.165,No_Data_From_DB
102.132.150.60,No_Data_From_DB
102.132.153.117,No_Data_From_DB
